model_name,status,feature_extraction,dim_reduction
bert-base-uncased,False,,
roberta-base,False,,
bilstm-dim-reduction,success,bert-base-uncased,zca
mlp-dim-reduction,success,bert-base-uncased,zca
bilstm-dim-reduction,success,roberta-base,zca
mlp-dim-reduction,success,roberta-base,zca
bilstm-dim-reduction,success,bert-base-uncased,pca
mlp-dim-reduction,success,bert-base-uncased,pca
bilstm-dim-reduction,success,roberta-base,pca
mlp-dim-reduction,success,roberta-base,pca
bilstm-dim-reduction,success,bert-base-uncased,svd
mlp-dim-reduction,success,bert-base-uncased,svd
bilstm-dim-reduction,success,roberta-base,svd
mlp-dim-reduction,success,roberta-base,svd
